Epoch,Average reward,Min reward,Max reward
0,0.5,0.0,3.0
1,2.1,0.0,11.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,1.0,0.0,5.0
9,1.6,0.0,5.0
10,1.8,0.0,6.0
11,0.5,0.0,2.0
12,0.4,0.0,4.0
13,1.1,0.0,3.0
14,0.1,0.0,1.0
15,0.2,0.0,1.0
16,0.0,0.0,0.0
17,0.4,0.0,1.0
18,0.5,0.0,1.0
19,0.5,0.0,2.0
20,0.2,0.0,1.0
21,0.1,0.0,1.0
22,1.4,0.0,4.0
23,0.0,0.0,0.0
24,1.0,0.0,4.0
25,0.6,0.0,4.0
26,0.7,0.0,4.0
27,0.3,0.0,3.0
28,0.3,0.0,3.0
29,0.6,0.0,3.0
30,0.0,0.0,0.0
31,0.6,0.0,3.0
32,0.9,0.0,4.0
33,0.8,0.0,4.0
34,0.2,0.0,2.0
35,0.7,0.0,3.0
36,1.4,0.0,4.0
37,0.4,0.0,2.0
38,0.6,0.0,2.0
39,0.1,0.0,1.0
40,0.0,0.0,0.0
41,0.1,0.0,1.0
42,0.2,0.0,1.0
43,0.4,0.0,1.0
44,1.9,0.0,5.0
45,1.6,0.0,4.0
46,1.5,0.0,5.0
47,1.1,0.0,11.0
48,1.5,0.0,4.0
49,2.4,0.0,9.0
50,0.5,0.0,2.0
51,1.7,0.0,4.0
52,0.8,0.0,4.0
53,2.8,0.0,7.0
54,1.5,0.0,5.0
55,1.0,0.0,3.0
56,2.0,0.0,10.0
57,2.3,0.0,6.0
58,2.0,0.0,6.0
59,0.6,0.0,3.0
60,2.7,0.0,7.0
61,2.5,0.0,8.0
62,0.9,0.0,5.0
63,1.1,0.0,5.0
64,1.8,0.0,4.0
65,2.2,0.0,4.0
66,0.9,0.0,3.0
67,1.0,0.0,3.0
68,1.2,0.0,2.0
69,1.3,0.0,2.0
70,1.0,0.0,4.0
71,1.0,0.0,4.0
72,1.5,0.0,5.0
73,1.3,0.0,5.0
74,1.7,0.0,7.0
75,1.3,0.0,5.0
76,1.0,0.0,5.0
77,1.5,0.0,5.0
78,1.4,0.0,4.0
79,0.7,0.0,3.0
80,1.5,0.0,5.0
81,0.9,0.0,3.0
82,3.1,0.0,7.0
83,1.8,0.0,5.0
84,2.4,0.0,5.0
85,1.2,0.0,5.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.4,0.0,4.0
90,0.0,0.0,0.0
91,0.1,0.0,1.0
92,1.5,0.0,5.0
93,1.3,0.0,5.0
94,2.6,0.0,7.0
95,1.7,0.0,4.0
96,0.0,0.0,0.0
97,0.1,0.0,1.0
98,0.1,0.0,1.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.2,0.0,1.0
108,0.0,0.0,0.0
109,0.1,0.0,1.0
110,0.2,0.0,1.0
111,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.5,0.0,4.0
115,0.9,0.0,6.0
116,1.4,0.0,3.0
117,2.7,0.0,6.0
118,2.7,0.0,6.0
119,1.3,0.0,5.0
120,0.6,0.0,1.0
121,0.8,0.0,3.0
122,1.1,0.0,4.0
123,1.0,0.0,4.0
124,0.3,0.0,2.0
125,1.6,0.0,5.0
126,0.3,0.0,2.0
127,0.5,0.0,2.0
128,1.0,0.0,5.0
129,1.2,0.0,2.0
130,2.6,0.0,5.0
131,1.2,0.0,6.0
